FID,COD,X,Y
207,PE130301,-1932700.0000000,2742430.0000000
208,PE220702,-1793930.0000000,2817120.0000000
209,PE130802,-1883570.0000000,2651180.0000000
210,PE050603,-1460760.0000000,1982740.0000000
211,PE220903,-1801720.0000000,2846760.0000000
212,PE060202,-1984960.0000000,2702040.0000000
213,PE131003,-1958510.0000000,2654470.0000000
214,PE080303,-1259600.0000000,2103580.0000000
215,PE101102,-1782900.0000000,2465260.0000000
216,PE160702,-1862410.0000000,2977220.0000000
217,PE081102,-1219200.0000000,2095170.0000000
218,PE090204,-1518010.0000000,2148720.0000000
219,PE060201,-1960180.0000000,2697830.0000000
220,PE060101,-2024970.0000000,2752370.0000000
221,PE010702,-2002530.0000000,2919200.0000000
222,PE021003,-1842060.0000000,2527670.0000000
223,PE080401,-1251190.0000000,2126620.0000000
224,PE090303,-1533740.0000000,2146550.0000000
225,PE060602,-2078330.0000000,2852450.0000000
226,PE250101,-1537190.0000000,2705350.0000000
227,PE220102,-1879150.0000000,2888890.0000000
228,PE081203,-1124320.0000000,2127700.0000000
229,PE220602,-1827540.0000000,2710830.0000000
230,PE010502,-2012480.0000000,2854940.0000000
231,PE250102,-1605230.0000000,2636160.0000000
232,PE051005,-1456420.0000000,2029310.0000000
233,PE140202,-2120080.0000000,2854680.0000000
234,PE050409,-1484830.0000000,2212920.0000000
235,PE100402,-1844730.0000000,2573820.0000000
236,PE200302,-2165880.0000000,2932460.0000000
237,PE120405,-1668050.0000000,2243540.0000000
238,PE050201,-1472270.0000000,2069500.0000000
239,PE080702,-1247890.0000000,2037780.0000000
240,PE030402,-1388360.0000000,2017730.0000000
241,PE160503,-1560560.0000000,2994160.0000000
242,PE050302,-1490090.0000000,2043380.0000000
243,PE030403,-1358450.0000000,1985340.0000000
244,PE120104,-1600160.0000000,2200030.0000000
245,PE051103,-1436680.0000000,2056710.0000000
246,PE050104,-1489510.0000000,2113330.0000000
247,PE050604,-1449760.0000000,1971800.0000000
248,PE021302,-1875100.0000000,2573100.0000000
249,PE021904,-1906690.0000000,2596080.0000000
250,PE220703,-1794470.0000000,2796770.0000000
251,PE100608,-1725520.0000000,2546040.0000000
252,PE061104,-2047480.0000000,2780320.0000000
253,PE051006,-1457600.0000000,2048640.0000000
254,PE040603,-1269500.0000000,1924140.0000000
255,PE040505,-1217540.0000000,1912470.0000000
256,PE100202,-1748890.0000000,2429080.0000000
257,PE220504,-1793620.0000000,2878150.0000000
258,PE081003,-1252250.0000000,2058510.0000000
259,PE081204,-1184790.0000000,2100940.0000000
260,PE081205,-1201100.0000000,2092420.0000000
261,PE090304,-1552000.0000000,2138290.0000000
262,PE080102,-1261760.0000000,2088920.0000000
263,PE060301,-1980850.0000000,2791740.0000000
264,PE050412,-1489490.0000000,2161690.0000000
265,PE101103,-1780630.0000000,2461420.0000000
266,PE120802,-1672540.0000000,2264870.0000000
267,PE120105,-1605250.0000000,2193210.0000000
268,PE020401,-1871220.0000000,2530170.0000000
269,PE190202,-1747990.0000000,2399060.0000000
270,PE020303,-1838610.0000000,2554080.0000000
271,PE010101,-1959350.0000000,2853490.0000000
272,PE040404,-1250150.0000000,1906370.0000000
273,PE030102,-1351920.0000000,2034520.0000000
274,PE060403,-2017500.0000000,2824950.0000000
275,PE100802,-1693540.0000000,2489380.0000000
276,PE060419,-2025420.0000000,2815250.0000000
277,PE050903,-1432460.0000000,2044250.0000000
278,PE030401,-1373650.0000000,1998440.0000000
279,PE081103,-1232660.0000000,2142940.0000000
280,PE030506,-1279600.0000000,2020540.0000000
281,PE080703,-1233160.0000000,2005490.0000000
282,PE120204,-1628750.0000000,2237230.0000000
283,PE061002,-1972360.0000000,2721400.0000000
284,PE120301,-1631540.0000000,2348200.0000000
285,PE030404,-1361730.0000000,2032480.0000000
286,PE021004,-1845560.0000000,2482010.0000000
287,PE100503,-1799470.0000000,2511960.0000000
288,PE101101,-1773150.0000000,2472760.0000000
289,PE220904,-1750930.0000000,2835390.0000000
290,PE080602,-1151950.0000000,2049450.0000000
291,PE080502,-1190430.0000000,1990680.0000000
292,PE010104,-1939110.0000000,2850250.0000000
293,PE030203,-1417930.0000000,2042240.0000000
294,PE050105,-1479720.0000000,2094570.0000000
295,PE120106,-1610430.0000000,2206410.0000000
296,PE150705,-1717780.0000000,2266950.0000000
297,PE060404,-2049890.0000000,2822620.0000000
298,PE120107,-1601280.0000000,2231600.0000000
299,PE050504,-1451390.0000000,2121010.0000000
300,PE050904,-1428840.0000000,2039940.0000000
301,PE010105,-1950560.0000000,2873510.0000000
302,PE130803,-1898000.0000000,2645400.0000000
303,PE060405,-2023480.0000000,2841640.0000000
304,PE100103,-1728440.0000000,2499500.0000000
305,PE080304,-1280760.0000000,2084710.0000000
306,PE081302,-1258360.0000000,2109900.0000000
307,PE030601,-1435450.0000000,2082220.0000000
308,PE090503,-1532720.0000000,2195580.0000000
309,PE090305,-1503130.0000000,2137260.0000000
310,PE021905,-1908850.0000000,2621290.0000000
311,PE020304,-1830240.0000000,2542370.0000000
312,PE050606,-1426440.0000000,1972630.0000000
313,PE220905,-1717860.0000000,2859470.0000000
314,PE010602,-1907830.0000000,2825910.0000000
315,PE060902,-2084380.0000000,2943390.0000000
316,PE010302,-1949650.0000000,2894140.0000000
317,PE040406,-1243150.0000000,1880130.0000000
318,PE100702,-1807680.0000000,2599410.0000000
319,PE120108,-1623260.0000000,2182750.0000000
320,PE120903,-1610590.0000000,2217390.0000000
321,PE190302,-1652170.0000000,2392800.0000000
322,PE060803,-2107310.0000000,2904040.0000000
323,PE101108,-1774060.0000000,2460860.0000000
324,PE060406,-2013670.0000000,2833250.0000000
325,PE060603,-2063900.0000000,2876960.0000000
326,PE060401,-2040910.0000000,2808580.0000000
327,PE130902,-1932350.0000000,2679600.0000000
328,PE060702,-2046270.0000000,2793820.0000000
329,PE060302,-1991140.0000000,2813490.0000000
330,PE050505,-1419900.0000000,2116810.0000000
331,PE120901,-1612190.0000000,2231440.0000000
332,PE090405,-1628160.0000000,2135340.0000000
333,PE120111,-1605870.0000000,2216150.0000000
334,PE010106,-1954540.0000000,2776940.0000000
335,PE030701,-1328260.0000000,2022730.0000000
336,PE100307,-1783770.0000000,2489760.0000000
337,PE090501,-1510510.0000000,2168080.0000000
338,PE100104,-1744170.0000000,2489880.0000000
339,PE010303,-1970570.0000000,2879030.0000000
340,PE050202,-1507360.0000000,2078450.0000000
341,PE030103,-1341790.0000000,2038070.0000000
342,PE210304,-1033140.0000000,2099390.0000000
343,PE010503,-1971700.0000000,2809460.0000000
344,PE060407,-2064770.0000000,2814240.0000000
345,PE100403,-1789980.0000000,2551600.0000000
346,PE010603,-1936680.0000000,2840640.0000000
347,PE030603,-1434450.0000000,2071630.0000000
348,PE120205,-1602100.0000000,2284060.0000000
349,PE130903,-1921330.0000000,2680980.0000000
350,PE100902,-1659340.0000000,2504580.0000000
351,PE060804,-2086760.0000000,2876750.0000000
352,PE051007,-1463540.0000000,2057060.0000000
353,PE120112,-1599440.0000000,2204830.0000000
354,PE030405,-1379840.0000000,2034460.0000000
355,PE090705,-1547150.0000000,2201880.0000000
356,PE010504,-1975360.0000000,2844600.0000000
357,PE081004,-1236310.0000000,2058590.0000000
358,PE100203,-1758510.0000000,2424710.0000000
359,PE080704,-1248320.0000000,2015430.0000000
360,PE081104,-1218310.0000000,2113770.0000000
361,PE120206,-1591840.0000000,2279890.0000000
362,PE080603,-1179030.0000000,2038000.0000000
363,PE090104,-1581240.0000000,2183280.0000000
364,PE051104,-1448980.0000000,2078290.0000000
365,PE120201,-1616900.0000000,2249100.0000000
366,PE100204,-1733770.0000000,2449670.0000000
367,PE060408,-2037760.0000000,2819010.0000000
368,PE021503,-1919340.0000000,2631900.0000000
369,PE060203,-1967910.0000000,2708330.0000000
370,PE130303,-1914050.0000000,2711160.0000000
371,PE090306,-1523820.0000000,2135650.0000000
372,PE010505,-1997510.0000000,2862500.0000000
373,PE190308,-1584300.0000000,2490340.0000000
374,PE160601,-1667820.0000000,2713270.0000000
375,PE010203,-2026750.0000000,2912530.0000000
376,PE080803,-1204410.0000000,1959000.0000000
377,PE210305,-1115040.0000000,2061590.0000000
378,PE010304,-1959960.0000000,2901570.0000000
379,PE060303,-2002980.0000000,2821350.0000000
380,PE090511,-1539310.0000000,2181380.0000000
381,PE030502,-1286730.0000000,2068310.0000000
382,PE030406,-1377500.0000000,1964120.0000000
383,PE120602,-1553760.0000000,2323430.0000000
384,PE080402,-1245550.0000000,2111720.0000000
385,PE030503,-1290770.0000000,2048690.0000000
386,PE090105,-1583580.0000000,2189710.0000000
387,PE010305,-1970130.0000000,2889890.0000000
388,PE060604,-2037870.0000000,2858700.0000000
389,PE120113,-1596320.0000000,2212300.0000000
390,PE010703,-2045890.0000000,2880080.0000000
391,PE220505,-1803210.0000000,2830030.0000000
392,PE030104,-1316600.0000000,2078770.0000000
393,PE030714,-1303240.0000000,2026500.0000000
394,PE130904,-1948800.0000000,2674780.0000000
395,PE120406,-1656010.0000000,2261580.0000000
396,PE250303,-1655070.0000000,2642840.0000000
397,PE030702,-1316740.0000000,2040790.0000000
398,PE080101,-1252270.0000000,2100830.0000000
399,PE081206,-1191560.0000000,2060310.0000000
400,PE060601,-2064130.0000000,2825900.0000000
401,PE100602,-1695570.0000000,2531920.0000000
402,PE090706,-1561560.0000000,2205030.0000000
403,PE080902,-1366560.0000000,2214590.0000000
404,PE061003,-1974760.0000000,2717530.0000000
405,PE090504,-1522280.0000000,2166850.0000000
406,PE200303,-2141590.0000000,2967890.0000000
407,PE010402,-2039500.0000000,3075650.0000000
408,PE220403,-1824480.0000000,2785500.0000000
409,PE120407,-1626200.0000000,2258990.0000000
410,PE010704,-2048990.0000000,2902010.0000000
411,PE030302,-1354900.0000000,2015790.0000000
412,PE010204,-2035220.0000000,2914290.0000000
413,PE030610,-1416590.0000000,2097840.0000000
414,PE220906,-1741670.0000000,2878140.0000000
415,PE120114,-1600180.0000000,2243980.0000000
416,PE021303,-1856330.0000000,2568120.0000000
417,PE220803,-1900810.0000000,2882860.0000000
418,PE160504,-1587700.0000000,2898460.0000000
419,PE060105,-2009060.0000000,2764710.0000000
420,PE080801,-1173770.0000000,1941930.0000000
421,PE160103,-1459430.0000000,3123880.0000000
422,PE021304,-1863730.0000000,2578740.0000000
423,PE170202,-1229960.0000000,2290670.0000000
424,PE010306,-1976140.0000000,2898970.0000000
425,PE030703,-1308690.0000000,2057370.0000000
426,PE190203,-1749120.0000000,2398120.0000000
427,PE010107,-1930680.0000000,2873410.0000000
428,PE061004,-1979620.0000000,2741630.0000000
429,PE220103,-1878700.0000000,2880630.0000000
430,PE030504,-1270340.0000000,2009120.0000000
431,PE100603,-1708920.0000000,2555570.0000000
432,PE120207,-1614400.0000000,2257800.0000000
433,PE100903,-1587090.0000000,2616090.0000000
434,PE060805,-2082800.0000000,2910370.0000000
435,PE021005,-1819800.0000000,2524340.0000000
436,PE050905,-1440290.0000000,2001700.0000000
437,PE100205,-1738390.0000000,2432480.0000000
438,PE100401,-1814490.0000000,2564620.0000000
439,PE030604,-1435750.0000000,2105100.0000000
440,PE021006,-1808290.0000000,2539230.0000000
441,PE120904,-1618550.0000000,2234840.0000000
442,PE021007,-1834210.0000000,2509330.0000000
443,PE090106,-1566610.0000000,2124110.0000000
444,PE090707,-1534520.0000000,2240740.0000000
445,PE190102,-1682380.0000000,2395260.0000000
446,PE100701,-1854830.0000000,2600150.0000000
447,PE120116,-1602800.0000000,2219110.0000000
448,PE060703,-2033670.0000000,2787830.0000000
449,PE120117,-1608960.0000000,2243550.0000000
450,PE220204,-1805890.0000000,2753520.0000000
451,PE020508,-1813650.0000000,2455850.0000000
452,PE130901,-1959080.0000000,2675930.0000000
453,PE120408,-1627850.0000000,2262050.0000000
454,PE120905,-1608170.0000000,2230840.0000000
455,PE050403,-1483840.0000000,2138210.0000000
456,PE051008,-1488250.0000000,2054600.0000000
457,PE051105,-1447630.0000000,2055140.0000000
458,PE010604,-1921330.0000000,2836900.0000000
459,PE060409,-2078210.0000000,2816980.0000000
460,PE090307,-1532990.0000000,2136720.0000000
461,PE190303,-1668940.0000000,2417590.0000000
462,PE200301,-2153440.0000000,2946950.0000000
463,PE120119,-1603120.0000000,2227810.0000000
464,PE051001,-1467980.0000000,2046310.0000000
465,PE030204,-1359120.0000000,2073090.0000000
466,PE081105,-1214950.0000000,2101630.0000000
467,PE030205,-1411950.0000000,2055470.0000000
468,PE051009,-1476890.0000000,2051880.0000000
469,PE010108,-1962560.0000000,2863370.0000000
470,PE130804,-1867180.0000000,2617480.0000000
471,PE090101,-1574070.0000000,2144400.0000000
472,PE151014,-1669620.0000000,2223260.0000000
473,PE120101,-1590490.0000000,2242500.0000000
474,PE090119,-1577260.0000000,2171130.0000000
475,PE030105,-1355370.0000000,2094200.0000000
476,PE081005,-1259940.0000000,2076510.0000000
477,PE050401,-1490190.0000000,2146870.0000000
478,PE151016,-1650900.0000000,2176750.0000000
479,PE021008,-1850570.0000000,2502760.0000000
480,PE100101,-1744900.0000000,2465770.0000000
481,PE030303,-1327360.0000000,1997120.0000000
482,PE060903,-2068860.0000000,2968870.0000000
483,PE021001,-1852080.0000000,2519020.0000000
484,PE190103,-1723000.0000000,2404920.0000000
485,PE090709,-1570390.0000000,2213700.0000000
486,PE120703,-1653360.0000000,2289640.0000000
487,PE120409,-1635540.0000000,2257640.0000000
488,PE200304,-2153300.0000000,2891320.0000000
489,PE081207,-1217090.0000000,2073380.0000000
490,PE080305,-1283550.0000000,2112440.0000000
491,PE120704,-1658940.0000000,2334560.0000000
492,PE120120,-1608740.0000000,2197350.0000000
493,PE060304,-2002770.0000000,2783120.0000000
494,PE120803,-1687810.0000000,2264120.0000000
495,PE051010,-1455710.0000000,2039000.0000000
496,PE030206,-1410090.0000000,2030310.0000000
497,PE130805,-1873120.0000000,2644930.0000000
498,PE021906,-1894430.0000000,2606080.0000000
499,PE081303,-1260130.0000000,2117510.0000000
500,PE090107,-1597580.0000000,2195010.0000000
501,PE021602,-1882670.0000000,2564680.0000000
502,PE030704,-1300770.0000000,2042400.0000000
503,PE090308,-1538110.0000000,2140960.0000000
504,PE130806,-1907330.0000000,2658530.0000000
505,PE080903,-1307060.0000000,2147100.0000000
506,PE120121,-1604730.0000000,2224910.0000000
507,PE170204,-1116940.0000000,2167120.0000000
508,PE120410,-1634740.0000000,2264240.0000000
509,PE220603,-1888050.0000000,2748200.0000000
510,PE220907,-1720600.0000000,2836260.0000000
511,PE170302,-1026500.0000000,2352460.0000000
512,PE061005,-1966170.0000000,2722520.0000000
513,PE050404,-1490140.0000000,2138720.0000000
514,PE030407,-1377150.0000000,2020750.0000000
515,PE010205,-2034450.0000000,2984810.0000000
516,PE160602,-1670920.0000000,2796240.0000000
517,PE170102,-1042460.0000000,2175220.0000000
518,PE170301,-1133080.0000000,2398730.0000000
519,PE140203,-2126650.0000000,2834660.0000000
520,PE020105,-1877090.0000000,2499300.0000000
521,PE051106,-1443200.0000000,2040430.0000000
522,PE160104,-1434950.0000000,3175680.0000000
523,PE120122,-1608040.0000000,2256730.0000000
524,PE010506,-1978130.0000000,2851210.0000000
525,PE080911,-1381440.0000000,2111950.0000000
526,PE250103,-1519250.0000000,2539980.0000000
527,PE160101,-1499580.0000000,3175240.0000000
528,PE250302,-1647160.0000000,2583360.0000000
529,PE210307,-1054490.0000000,2076560.0000000
530,PE090108,-1578740.0000000,2186010.0000000
531,PE101105,-1767820.0000000,2465720.0000000
532,PE100504,-1789280.0000000,2504270.0000000
533,PE060801,-2074680.0000000,2892900.0000000
534,PE010705,-2004620.0000000,2881130.0000000
535,PE120411,-1650730.0000000,2262450.0000000
536,PE120401,-1637200.0000000,2262880.0000000
537,PE010307,-1981570.0000000,2884700.0000000
538,PE160205,-1790120.0000000,2978810.0000000
539,PE160510,-1517050.0000000,3039320.0000000
540,PE220104,-1858140.0000000,2873470.0000000
541,PE060106,-2000870.0000000,2730470.0000000
542,PE101001,-1789810.0000000,2424210.0000000
543,PE050115,-1487640.0000000,2123010.0000000
544,PE100505,-1790370.0000000,2538050.0000000
545,PE101003,-1781530.0000000,2445970.0000000
546,PE060305,-1973440.0000000,2774160.0000000
547,PE100604,-1743790.0000000,2575300.0000000
548,PE060306,-1983390.0000000,2775170.0000000
549,PE061006,-1962630.0000000,2728580.0000000
550,PE030220,-1388350.0000000,2052990.0000000
551,PE061007,-1958620.0000000,2743610.0000000
552,PE030304,-1337830.0000000,1971060.0000000
553,PE220908,-1790300.0000000,2830800.0000000
554,PE220601,-1828120.0000000,2756620.0000000
555,PE090309,-1512050.0000000,2133260.0000000
556,PE120412,-1630870.0000000,2265800.0000000
557,PE010301,-1959840.0000000,2886570.0000000
558,PE120501,-1699060.0000000,2323360.0000000
559,PE030408,-1372030.0000000,2017460.0000000
560,PE030219,-1386710.0000000,2087400.0000000
561,PE080907,-1433310.0000000,2186220.0000000
562,PE030207,-1373000.0000000,2070930.0000000
563,PE081106,-1201540.0000000,2156130.0000000
564,PE080503,-1170600.0000000,1985180.0000000
565,PE220909,-1783450.0000000,2847660.0000000
566,PE060904,-2093180.0000000,2933100.0000000
567,PE010109,-1948130.0000000,2826130.0000000
568,PE060312,-2000070.0000000,2796880.0000000
569,PE090505,-1503830.0000000,2159030.0000000
570,PE100704,-1764350.0000000,2579000.0000000
571,PE120801,-1677700.0000000,2277990.0000000
572,PE010206,-2032510.0000000,2918050.0000000
573,PE060605,-2035960.0000000,2847730.0000000
574,PE100301,-1797870.0000000,2458680.0000000
575,PE120705,-1677010.0000000,2306000.0000000
576,PE170104,-1044380.0000000,2228150.0000000
577,PE160206,-1772790.0000000,3054970.0000000
578,PE060410,-2049960.0000000,2805850.0000000
579,PE220501,-1812130.0000000,2853330.0000000
580,PE080403,-1242700.0000000,2121170.0000000
581,PE030106,-1332700.0000000,2058420.0000000
582,PE010501,-1970540.0000000,2866480.0000000
583,PE080504,-1172670.0000000,2004260.0000000
584,PE050608,-1533250.0000000,1988740.0000000
585,PE151018,-1649490.0000000,2191650.0000000
586,PE080404,-1259970.0000000,2146900.0000000
587,PE040510,-1210870.0000000,1875070.0000000
588,PE090109,-1585080.0000000,2178850.0000000
589,PE160105,-1400860.0000000,3207290.0000000
590,PE170103,-1007750.0000000,2288700.0000000
591,PE060806,-2076200.0000000,2907680.0000000
592,PE080505,-1150180.0000000,1989400.0000000
593,PE010110,-1945700.0000000,2792140.0000000
