"COD","tot_IT","NOTackn_IT","acknlgd_IT"
"BO090401",0,0,0
"BO090402",0,0,0
"BO090501",0,0,0
"BO090502",0,0,0
"BO090503",0,0,0
"CO18001",0.6911,0,0.6911
"CO18029",0.285,0,0.285
"CO18094",0.7711,0,0.7711
"CO18150",0.9601,0,0.9601
"CO18205",0,0,0
"CO18247",0,0,0
"CO18256",0,0,0
"CO18410",0.073,0,0.073
"CO18460",4.4552,0,4.4552
"CO18479",0.0234,0,0.0234
"CO18592",0.439,0,0.439
"CO18610",1.7172,0,1.7172
"CO18753",0.7498,0,0.7498
"CO18756",27.5579,0,27.5579
"CO18785",0.697,0,0.697
"CO18860",0.2872,0,0.2872
"CO19533",3.9514,0,3.9514
"CO19701",7.169,0,7.169
"CO41001",0,0,0
"CO41006",0,0,0
"CO41020",0,0,0
"CO41078",0,0,0
"CO41206",0,0,0
"CO41298",0,0,0
"CO41319",0,0,0
"CO41770",0,0,0
"CO41799",0,0,0
"CO50223",0,0,0
"CO50251",0,0,0
"CO50270",0,0,0
"CO50287",0,0,0
"CO50313",0,0,0
"CO50318",0,0,0
"CO50325",3.332,0,3.332
"CO50330",2.8103,0,2.8103
"CO50350",6.2365,0,6.2365
"CO50370",0.3572,0,0.3572
"CO50400",0,0,0
"CO50450",2.9871,0,2.9871
"CO50568",25.7694,0,25.7694
"CO50577",0,0,0
"CO50590",0,0,0
"CO50683",0,0,0
"CO50689",0,0,0
"CO50711",0,0,0
"CO52001",0.8596,0,0.8596
"CO52215",6.9568,0,6.9568
"CO52287",0,0,0
"CO52356",20.9233,0,20.9233
"CO52560",21.5592,0,21.5592
"CO52573",0,0,0
"CO86001",52.2103,0,52.2103
"CO86320",17.9208,0,17.9208
"CO86568",3.4868,9e-04,3.4859
"CO86569",6.0371,0,6.0371
"CO86571",15.821,0,15.821
"CO86573",31.0446,0.2801,30.7645
"CO86749",52.791,0,52.791
"CO86755",57.7676,0,57.7676
"CO86757",8.4909,0,8.4909
"CO86760",57.7141,0,57.7141
"CO86865",2.2345,0,2.2345
"CO86885",26.5935,0,26.5935
"CO91001",35.97,0,35.97
"CO91263",96.5347,0,96.5347
"CO91405",99.9378,0,99.9378
"CO91407",62.7012,0,62.7012
"CO91430",84.0815,0,84.0815
"CO91460",98.0781,0,98.0781
"CO91530",97.8806,0,97.8806
"CO91536",78.7742,6e-04,78.7736
"CO91540",89.6398,0,89.6398
"CO91669",98.7794,0,98.7794
"CO91798",18.9638,0.0239,18.9399
"CO94001",96.3313,2e-04,96.3311
"CO94343",63.0694,0,63.0694
"CO94663",59.9573,0,59.9573
"CO94883",97.6822,3e-04,97.6819
"CO94884",99.4248,0,99.4248
"CO94885",94.591,0.6062,93.9848
"CO94886",99.4484,0.019,99.4294
"CO94887",99.6913,0,99.6913
"CO94888",99.821,0,99.821
"CO95001",58.418,0,58.418
"CO95015",11.1021,0,11.1021
"CO95025",56.4045,0,56.4045
"CO95200",16.0592,0,16.0592
"CO97001",99.8244,0,99.8244
"CO97161",46.4285,0,46.4285
"CO97511",96.6772,0,96.6772
"CO97666",87.5146,0,87.5146
"CO97777",77.4654,0,77.4654
"CO97889",98.9155,0,98.9155
"CO99773",68.043,0.0209,68.0221
"COD1100015",24.0398,0,24.0398
"COD1100023",0,0,0
"COD1100031",0,0,0
"COD1100049",25.6748,0,25.6748
"COD1100056",0,0,0
"COD1100064",0,0,0
"COD1100072",9.0701,0,9.0701
"COD1100080",12.017,0,12.017
"COD1100098",31.0522,0,31.0522
"COD1100106",51.0815,4e-04,51.0811
"COD1100114",5.3964,0,5.3964
"COD1100122",28.3988,0,28.3988
"COD1100130",0.0744,0,0.0744
"COD1100148",0.0079,0,0.0079
"COD1100155",0,0,0
"COD1100189",0.9638,0,0.9638
"COD1100205",6.2044,0,6.2044
"COD1100254",0,0,0
"COD1100262",0,0,0
"COD1100288",0,0,0
"COD1100296",0,0,0
"COD1100304",56.9499,0,56.9499
"COD1100320",67.6143,0,67.6143
"COD1100338",23.5938,0,23.5938
"COD1100346",37.5261,0,37.5261
"COD1100379",27.1342,0,27.1342
"COD1100403",0,0,0
"COD1100452",0,0,0
"COD1100502",0,0,0
