"country","COD","year","health","chagas","hantavirus","cutaneous_leishmaniasis","visceral_leishmaniasis","rickettsia","malaria","zoonotic","n_zoo","fire_related","n_fire","acute","n_acute","chronic","n_chronic","respiratory","n_resp","cardiovascular","n_card","pop","IDH","for_PLAND","for_PD","for_ED","for_AI","savanna_PLAND","notforest_PLAND","FS_PLAND","tot_IT","NOTackn_IT","acknlgd_IT","FS_noIT","habitat_noIT","pm25_SUM","fire_MIN","fire_MAX","fire_MEAN","fire_COUNT","fire_SUM"
"Ecuador","EC180163",2019,8,0,NA,0,0,0,0,0,5,8,13,8,8,0,5,8,10,0,3,10851.2605812072,0.76,1.4741,0.9913,6.408,60.1824,0,27.8095,1.4741,0,0,0,1.4741,29.2836,82682238,0,0,0,12,0
"Ecuador","EC180250",2016,43,0,NA,0,0,0,1,1,5,42,13,26,8,16,5,41,10,1,3,16385.5614693641,0.762,42.504,1.8243,52.45,90.2985,0,16.0313,42.504,0,0,0,42.504,58.5353,592880148.5,0,1,0.01219512195122,82,1
"Ecuador","EC180250",2019,146,0,NA,0,0,0,0,0,5,146,13,103,8,43,5,144,10,2,3,17102.0859195709,0.76,38.7267,2.1848,51.4366,89.5117,0,16.6939,38.7267,0,0,0,38.7267,55.4206,589246728.5,0,0,0,82,0
"Ecuador","EC180750",2015,66,0,NA,0,0,0,0,0,5,66,13,58,8,8,5,64,10,2,3,26598.0565719604,0.765,3.9174,0.2297,4.3031,91.3335,0,16.2332,3.9174,0,0,0,3.9174,20.1506,335295709,0,0,0,45,0
"Ecuador","EC180750",2016,97,0,NA,0,0,0,0,0,5,97,13,86,8,11,5,95,10,2,3,26991.4936080932,0.762,3.9316,0.1944,4.3479,91.3194,0,16.3696,3.9316,0,0,0,3.9316,20.3012,345856309.5,0,0,0,45,0
"Ecuador","EC180850",2015,182,0,NA,0,0,0,0,0,5,182,13,174,8,8,5,181,10,1,3,14815.9476947784,0.765,1.9255,1.2804,8.8022,64.1106,0,13.4861,1.9255,0,0,0,1.9255,15.4116,312293716,0,0,0,44,0
"Ecuador","EC180850",2016,227,0,NA,0,0,0,0,0,5,227,13,216,8,11,5,226,10,1,3,15035.1044639587,0.762,2.085,1.3386,9.5271,64.2926,0,13.2021,2.085,0,0,0,2.085,15.2871,322085959,0,0,0,44,0
"Ecuador","EC180850",2019,126,0,NA,0,0,0,0,0,5,126,13,106,8,20,5,124,10,2,3,15692.5747714996,0.76,2.1044,1.3192,9.7482,63.6797,0,13.5366,2.1044,0,0,0,2.1044,15.641,320369315,0,0,0,44,0
"Ecuador","EC190150",2015,233,0,NA,0,0,0,0,0,5,233,13,207,8,26,5,232,10,1,3,14963.3659148216,0.765,81.5943,0.4164,25.3178,97.5158,0,11.061,81.5943,0.0471,0,0.0471,81.5472,92.6082,3085498225,0,0,0,492,0
"Ecuador","EC190150",2016,203,0,NA,0,0,0,0,0,5,203,13,182,8,21,5,203,10,0,3,15184.7032713413,0.762,81.9298,0.4111,24.4574,97.6093,0,10.6815,81.9298,0.0471,0,0.0471,81.8827,92.5642,3164317613.5,0,0,0,492,0
"Ecuador","EC190150",2019,193,0,NA,1,0,0,0,1,5,192,13,169,8,23,5,190,10,2,3,15848.7153409004,0.76,82.6991,0.3986,24.7093,97.6056,0,10.5797,82.6991,0.0471,0,0.0471,82.652,93.2317,3116280935,0,0,0,492,0
"Ecuador","EC190250",2015,37,0,NA,0,0,0,0,0,5,37,13,30,8,7,5,37,10,0,3,5516.82512903213,0.765,38.8342,2.243,54.3722,88.7565,0,0.7849,38.8342,1.5156,0,1.5156,37.3186,38.1035,2126241928.5,0,0,0,369,0
"Ecuador","EC190250",2016,40,0,NA,0,0,0,0,0,5,40,13,33,8,7,5,40,10,0,3,5598.01858196258,0.762,38.6453,2.2548,54.208,88.7357,0,0.7553,38.6453,1.5156,0,1.5156,37.1297,37.885,2180105949.5,0,1,0.005420054200542,369,2
"Ecuador","EC190250",2019,57,0,NA,0,0,0,0,0,5,57,13,53,8,4,5,56,10,1,3,5841.59894075393,0.76,41.7545,2.2548,58.7583,88.7075,0,0.7379,41.7545,1.5156,0,1.5156,40.2389,40.9768,2138447423,0,0,0,369,0
"Ecuador","EC190550",2015,45,0,NA,0,0,0,0,0,5,45,13,43,8,2,5,45,10,0,3,13217.4169950485,0.765,55.3817,1.3324,57.7875,91.6538,0,0,55.3817,49.8092,0,49.8092,5.5725,5.5725,1629246489.5,0,0,0,238,0
"Ecuador","EC190550",2016,75,0,NA,0,0,0,0,0,5,75,13,61,8,14,5,74,10,1,3,13412.9283372879,0.762,55.1356,1.2956,57.7339,91.6239,0,0,55.1356,49.8092,0,49.8092,5.3264,5.3264,1671754926.5,0,0,0,238,0
"Ecuador","EC190550",2019,256,0,NA,3,2,0,1,6,5,250,13,220,8,30,5,246,10,4,3,13999.462364006,0.76,57.2324,1.314,59.6895,91.6648,0,0,57.2324,49.8092,0,49.8092,7.4232,7.4232,1650859661,0,0,0,238,0
"Ecuador","EC210150",2015,767,0,NA,1,0,0,2,3,5,764,13,701,8,63,5,743,10,21,3,63120.5251312255,0.765,36.8032,2.4583,47.0896,89.5624,0,6e-04,36.8032,4.24,2.8418,1.3982,32.5632,32.5638,2722544084,0,0,0,284,0
"Ecuador","EC210150",2016,526,0,NA,1,0,0,2,3,5,523,13,458,8,65,5,512,10,11,3,64051.9832393645,0.762,35.9967,2.3024,45.9249,89.5912,0,9e-04,35.9967,4.24,2.8418,1.3982,31.7567,31.7576,2785592639,0,0,0,284,0
"Ecuador","EC210150",2019,586,0,NA,1,0,0,9,10,5,576,13,472,8,104,5,508,10,68,3,66846.3575637817,0.76,36.9792,2.3636,47.2387,89.5913,0,3e-04,36.9792,4.24,2.8418,1.3982,32.7392,32.7395,2813233831,0,0,0,284,0
"Ecuador","EC210450",2015,156,0,NA,0,0,0,0,0,5,156,13,122,8,34,5,152,10,4,3,29620.7256727218,0.765,25.3083,2.809,47.8046,84.9121,0,0,25.3083,29.4342,0,29.4342,-4.1259,-4.1259,3852618264,0,0,0,393,0
"Ecuador","EC210450",2016,221,0,NA,0,0,0,1,1,5,220,13,184,8,36,5,218,10,2,3,30058.8739423751,0.762,24.8571,2.7511,47.1386,84.8597,0,0,24.8571,29.4342,0,29.4342,-4.5771,-4.5771,3939569731,0,0,0,393,0
"Ecuador","EC210450",2019,141,0,NA,1,0,0,0,1,5,140,13,99,8,41,5,133,10,7,3,31373.3187513351,0.76,22.346,2.5241,43.101,84.6192,0,0,22.346,29.4342,0,29.4342,-7.0882,-7.0882,3978772398,0,0,0,393,0
"Ecuador","EC220150",2015,189,0,NA,0,0,0,3,3,5,186,13,155,8,31,5,185,10,1,3,5023.90980494022,0.765,38.9554,2.0899,45.6756,90.4742,0,0.0675,38.9554,1.306,1.306,0,37.6494,37.7169,1187397429,0,0,0,128,0
"Ecuador","EC220150",2016,381,0,NA,0,0,0,0,0,5,381,13,355,8,26,5,380,10,1,3,5098.22321900129,0.762,39.2049,2.1105,45.9259,90.4705,0,0.0675,39.2049,1.306,1.306,0,37.8989,37.9664,1215574634,0,0,0,128,0
"Ecuador","EC220150",2019,180,0,NA,1,2,0,2,5,5,175,13,129,8,46,5,164,10,11,3,5321.1634611845,0.76,37.2545,2.3305,47.3059,89.7216,0,0.0517,37.2545,1.306,1.306,0,35.9485,36.0002,1224447073,0,0,0,128,0
"Ecuador","EC220250",2015,2,0,NA,0,0,0,0,0,5,2,13,2,8,0,5,2,10,0,3,1059.45276340609,0.765,97.2658,0.0648,5.7395,99.4807,0,0.0446,97.2658,33.1157,33.1157,0,64.1501,64.1947,16207404359,0,0,0,1443,0
"Ecuador","EC220250",2016,5,0,NA,0,0,0,0,0,5,5,13,5,8,0,5,5,10,0,3,1075.12413562936,0.762,97.3203,0.0605,5.6297,99.4896,0,0.0386,97.3203,33.1157,33.1157,0,64.2046,64.2432,16577149031,0,0,0,1443,0
"Ecuador","EC220250",2019,15,0,NA,0,0,0,4,4,5,11,13,8,8,3,5,9,10,2,3,1122.13825229918,0.76,97.2615,0.066,5.7362,99.4807,0,0.0268,97.2615,33.1157,33.1157,0,64.1458,64.1726,16729909452,0,0,0,1443,0
